Retail Colour,Parent Colour
Animal Print,MultiColoured
Apricot,Orange
Aqua,Blue
Aubergine,Purple
Beige,Cream
Biscuit,Brown
Black,Black 
Black Pattern,Black 
Bleach Stone,Cream
Blue,Blue
Blue Pattern,Blue
Brown,Brown
Burgundy,Brown
Camel,Brown
Caramel,Brown
Charcoal,Black 
Chestnut,Brown
Chocolate,Brown
Clear,Cream
Coral,Red
Cream,Cream
Berry,Purple
Denim,Blue
Emerald,Green
Fuchsia,Pink
Fuscia,Pink
Gold,Yellow
Green,Green
Green Pattern,Green
Gray,Grey
Grey,Grey
Gunmetal,Grey
Indigo,Blue
Ivory,White
Jade,Green
Khaki,Brown
Lavender,Purple
Lilac,Purple
Lime,Green
Magenta,Purple
Maroon,Red
Mint,Green
Mixed,MultiColoured
Monochrome,MultiColoured
Multi,MultiColoured
MultiColored,MultiColoured
MultiColoured,MultiColoured
Mustard,Yellow
Navy,Blue
Nude,Pink
Oatmeal,Cream
Off White,Cream
Olive,Green
Orange,Orange
Peach,Orange
Pewter,Grey
Pink,Pink
Pink Pattern,Pink
Plum,Purple
Pumpkin,Orange
Purple,Purple
Purple Pattern,Purple
Red,Red
Rose,Pink
Salmon,Pink
Sand,Cream
Silver,Grey
Steel,Grey
Stone,Grey
Straw,Yellow
Strawberry,Red
Tan,Brown
Tobacco,Brown
Tortoise Shell,Brown
Truffle,Brown
Turquoise,Turquoise
Violet,Purple
White,White
White Pattern,White
Yellow,Yellow
