ID,SKU,SKU
Retailer,retailerName,Retailer
Name,productName,Product Name
Price,originalPrice,Original Price
Sale,discountPrice,Discount Price
,discountPercent,Discount %
,discounted,Discount Indicator
Availability,available,Availability Indicator
Size Choice,size,Size
,sizeTaxonomy,Size Taxonomy
Colour Choice,colour,Colour
,colourTaxonomy,Colour Taxonomy
Category1,category1,Category1
Category2,category2,Category2
,category3,Category3
,category4,Category4
,taxonomy1,Taxonomy1
,taxonomy2,Taxonomy2
,taxonomy3,Taxonomy3
,taxonomy4,Taxonomy4
,brand,Brand
,brandTaxonomy,Brand Taxonomy
Date,date,Date
URL,itemURL,Item URL
Image,imageURL,Image URL
