ID,Root,Level 1,Level 2,Level 3,Level 4,Keyword
1,Clothing & Accessories,Accessories,Belts,Buckle Belts,,buckle belt
1,Clothing & Accessories,Accessories,Belts,Elastic Belts,,elastic belt
1,Clothing & Accessories,Accessories,Belts,Other,,belt
1,Clothing & Accessories,Accessories,Glasses,Fashion Glasses,,fashion glasses
1,Clothing & Accessories,Accessories,Glasses,Sunglasses,,sunglasses
1,Clothing & Accessories,Accessories,Glasses,Other,,glasses
1,Clothing & Accessories,Accessories,Gloves,Knitted Gloves,Fingerless Gloves,fingerless glove
1,Clothing & Accessories,Accessories,Gloves,Knitted Gloves,Mittens,mitten
1,Clothing & Accessories,Accessories,Gloves,Knitted Gloves,Winter Gloves,winter glove
1,Clothing & Accessories,Accessories,Gloves,Knitted Gloves,Other,knitted glove
1,Clothing & Accessories,Accessories,Gloves,Leather Gloves,,leather glove
1,Clothing & Accessories,Accessories,Gloves,Occasion Gloves,,occasion glove
1,Clothing & Accessories,Accessories,Gloves,Other,,glove
1,Clothing & Accessories,Accessories,Hair Accessories,Alice Bands,,alice band
1,Clothing & Accessories,Accessories,Hair Accessories,Bandanas,,bandana
1,Clothing & Accessories,Accessories,Hair Accessories,Clips ,,clip
1,Clothing & Accessories,Accessories,Hair Accessories,Corsages,,corsage
1,Clothing & Accessories,Accessories,Hair Accessories,Hair Ties,,hair tie
1,Clothing & Accessories,Accessories,Hair Accessories,Headbands,,headband
1,Clothing & Accessories,Accessories,Hats,Occasion Hats,Fascinators,fascinator
1,Clothing & Accessories,Accessories,Hats,Occasion Hats,Formal Hats,formal hat
1,Clothing & Accessories,Accessories,Hats,Occasion Hats,Other,occasion hat
1,Clothing & Accessories,Accessories,Hats,Summer Hats,Caps/Snapbacks,cap
1,Clothing & Accessories,Accessories,Hats,Summer Hats,Caps/Snapbacks,snapback
1,Clothing & Accessories,Accessories,Hats,Summer Hats,Straw Hats/Sun Hats,straw hat
1,Clothing & Accessories,Accessories,Hats,Summer Hats,Straw Hats/Sun Hats,sun hat
1,Clothing & Accessories,Accessories,Hats,Winter Hats,Beanie Hats,beanie
1,Clothing & Accessories,Accessories,Hats,Winter Hats,Ushankas,ushanka
1,Clothing & Accessories,Accessories,Hats,Other,Bowler Hats,bowler hat
1,Clothing & Accessories,Accessories,Hats,Other,,fedora
1,Clothing & Accessories,Accessories,Hats,Other,,felt hat
